ContactId,FirstName,LastName,DateOfBirth,AllowContactByPhone,CreatedDate
0,Stephen,Gerrard,1980-05-30,1,
0,Dennis,Potter,1935-05-17,0,
0,Richard,Adams,1920-05-09,0,
0,Bertie,McQuillan,2001-06-30,1,
0,Walt,Disney,1966-12-05,1,
0,Barbara,Gordon,1952-01-11,0,
0,Josephine,Bailey,1949-05-31,1,
0,Linda,Canoglu,1959-07-11,1,
0,Grace,McQuillan,1993-09-27,0,
0,Vera,Black,1984-08-03,0,
0,Angelica,Jones,1981-02-04,1,
0,Steve,Davis,1957-08-22,1,
0,Allison,Fisher,1968-02-24,1,
0,julius,Marx,1990-10-02,0,
0,george,formby,1944-05-26,1,
0,Alan,Partridge,1965-04-14,0,
0,Harper,Lee,1986-04-28,1,
0,Robert,Burns,1959-01-25,0,
0,Michael,Jackson,1967-06-30,0,
0,Roald Dahl,,1916-09-13,1,
